;participant;serie;essai;singleton;singletonposition;targetposition;temps;erreur;cible;reponsedonnee
161;A;3;162;0;-100;4;874.0699999999999;100;0;1
162;A;3;163;1;1;3;1199.976;100;0;1
163;A;3;164;0;-100;4;913.9100000000001;0;1;1
164;A;3;165;1;1;4;738.094;100;1;1
165;A;3;166;0;-100;3;799.8679999999999;0;1;1
166;A;3;167;0;-100;3;2592.053;0;0;1
167;A;3;168;0;-100;3;2584.041;100;1;1
168;A;3;169;0;-100;3;783.9179999999999;0;1;1
169;A;3;170;0;-100;3;776.1279999999999;0;1;1
170;A;3;171;1;-1;3;1303.869;100;1;1
171;A;3;172;0;-100;3;1352.104;100;0;1
172;A;3;173;0;-100;3;919.9359999999999;0;1;1
173;A;3;174;1;-1;4;1353.991;100;1;1
174;A;3;175;0;-100;4;954.0799999999999;0;0;1
175;A;3;176;0;-100;3;1600.0900000000001;100;1;1
176;A;3;177;0;-100;3;1191.877;100;0;1
177;A;3;178;1;1;3;1135.947;0;0;1
178;A;3;179;0;-100;3;856.037;0;1;1
179;A;3;180;0;-100;3;1520.065;0;1;1
180;A;4;181;0;-100;4;793.8789999999999;0;1;1
181;A;4;182;0;-100;3;1568.102;0;1;1
182;A;4;183;1;1;4;1809.886;0;1;1
183;A;4;184;0;-100;3;959.9929999999999;0;0;1
184;A;4;185;1;-1;3;976.0540000000001;0;0;1
185;A;4;186;1;-1;3;2079.95;0;0;1
186;A;4;187;1;-1;4;1289.96;0;1;1
187;A;4;188;0;-100;4;1586.0790000000002;100;0;1
188;A;4;189;0;-100;4;897.9200000000001;0;0;1
189;A;4;190;1;-1;4;1010.049;0;0;1
190;A;4;191;1;-1;4;810.098;0;1;1
191;A;4;192;1;1;4;2041.9119999999998;0;0;1
192;A;4;193;1;-1;4;2601.999;100;1;1
193;A;4;194;0;-100;3;1688.121;100;0;1
194;A;4;195;0;-100;3;1039.888;0;1;1
195;A;4;196;1;1;4;1577.984;0;0;1
196;A;4;197;0;-100;3;2792.121;0;1;1
197;A;4;198;0;-100;4;1257.714;0;0;1
198;A;4;199;1;1;3;1808.2379999999998;0;0;1
199;A;4;200;1;-1;3;2967.936;100;1;1
200;A;4;201;0;-100;3;2328.014;0;0;1
201;A;4;202;1;1;4;1402.161;0;0;1
202;A;4;203;0;-100;4;1881.649;0;0;1
203;A;4;204;0;-100;3;1456.263;0;0;1
204;A;4;205;1;1;4;729.886;0;0;1
205;A;4;206;0;-100;4;706.175;0;1;1
206;A;4;207;0;-100;3;1687.9;0;1;1
207;A;4;208;1;-1;4;1170.1;0;1;1
208;A;4;209;0;-100;4;1745.88;100;1;1
209;A;4;210;0;-100;3;944.0640000000001;0;1;1
210;A;4;211;1;1;3;1583.998;100;1;1
211;A;4;212;1;-1;3;1127.85;0;0;1
212;A;4;213;1;1;4;906.029;0;0;1
213;A;4;214;1;-1;4;1946.2150000000001;100;1;1
214;A;4;215;0;-100;3;1159.896;100;0;1
215;A;4;216;1;-1;4;1465.8649999999998;100;1;1
216;A;4;217;0;-100;4;913.932;0;1;1
217;A;4;218;0;-100;3;1088.075;0;0;1
218;A;4;219;1;-1;4;794.098;0;0;1
219;A;4;220;1;-1;3;1223.898;100;1;1
220;A;4;221;1;1;4;834.095;0;0;1
221;A;4;222;0;-100;4;697.98;0;1;1
222;A;4;223;0;-100;3;2727.971;100;0;1
223;A;4;224;0;-100;3;1479.868;0;0;1
224;A;4;225;0;-100;4;1026.116;0;1;1
225;A;4;226;0;-100;4;1650.0990000000002;100;1;1
226;A;4;227;1;1;4;714.021;0;0;1
227;A;4;228;1;1;4;2817.885;0;1;1
228;A;4;229;1;-1;3;1808.0500000000002;0;0;1
229;A;4;230;0;-100;3;1095.938;0;0;1
230;A;4;231;1;1;3;2584.146;0;1;1
231;A;4;232;1;1;3;-460.0;100;0;0
232;A;4;233;1;-1;3;1155.979;0;1;1
233;A;4;234;0;-100;3;1271.994;0;1;1
234;A;4;235;0;-100;4;1033.911;0;0;1
235;A;4;236;1;1;4;690.126;100;1;1
236;A;4;237;0;-100;3;959.9860000000001;0;0;1
237;A;4;238;0;-100;3;1607.8449999999998;0;0;1
238;A;4;239;0;-100;4;1057.892;0;1;1
239;A;4;240;1;-1;3;1848.2130000000002;0;0;1
240;A;5;241;1;1;4;793.902;0;1;1
241;A;5;242;1;1;4;874.011;0;1;1
242;A;5;243;0;-100;3;1072.056;0;0;1
243;A;5;244;0;-100;4;1586.08;0;1;1
244;A;5;245;1;1;3;1295.936;0;0;1
245;A;5;246;1;-1;4;1658.1399999999999;100;1;1
246;A;5;247;1;-1;3;871.9459999999999;0;1;1
247;A;5;248;0;-100;3;2167.919;100;0;1
248;A;5;249;0;-100;4;810.0999999999999;0;0;1
249;A;5;250;0;-100;3;2487.959;0;0;1
250;A;5;251;0;-100;4;1523.359;100;1;1
251;A;5;252;1;-1;3;726.4960000000001;100;1;1
252;A;5;253;0;-100;3;1848.087;0;0;1
253;A;5;254;0;-100;3;2567.968;100;0;1
254;A;5;255;0;-100;4;3010.061;0;0;1
255;A;5;256;1;-1;3;1431.994;0;0;1
256;A;5;257;0;-100;3;831.9639999999999;0;1;1
257;A;5;258;1;-1;3;816.056;0;0;1
258;A;5;259;1;1;4;1754.038;100;1;1
259;A;5;260;1;-1;3;1383.974;0;1;1
260;A;5;261;0;-100;4;2449.966;100;1;1
261;A;5;262;0;-100;3;887.9359999999999;0;1;1
262;A;5;263;0;-100;4;970.1030000000001;0;0;1
263;A;5;264;0;-100;4;1210.049;0;1;1
264;A;5;265;1;1;4;1177.833;0;0;1
265;A;5;266;0;-100;3;1216.114;0;0;1
266;A;5;267;0;-100;3;895.95;100;1;1
267;A;5;268;0;-100;3;871.855;0;1;1
268;A;5;269;1;1;3;824.2180000000001;100;1;1
269;A;5;270;1;1;3;2735.961;0;1;1
270;A;5;271;1;-1;4;913.8430000000001;0;0;1
271;A;5;272;1;-1;3;1104.119;100;1;1
272;A;5;273;0;-100;3;713.242;0;1;1
273;A;5;274;0;-100;3;1366.764;0;0;1
274;A;5;275;0;-100;3;2143.988;100;0;1
275;A;5;276;0;-100;3;1192.041;0;0;1
276;A;5;277;1;1;3;1480.001;100;1;1
277;A;5;278;1;-1;3;732.9659999999999;0;1;1
278;A;5;279;0;-100;3;963.0129999999999;0;1;1
279;A;5;280;0;-100;3;732.9849999999999;0;1;1
280;A;5;281;1;1;4;996.9469999999999;0;0;1
281;A;5;282;1;1;3;983.971;100;1;1
282;A;5;283;1;-1;3;911.982;0;0;1
283;A;5;284;1;1;3;911.973;0;0;1
284;A;5;285;1;-1;3;856.029;0;0;1
285;A;5;286;1;1;4;722.0930000000001;0;0;1
286;A;5;287;1;1;3;1135.992;0;0;1
287;A;5;288;0;-100;3;2543.969;100;0;1
288;A;5;289;0;-100;4;698.125;100;1;1
289;A;5;290;0;-100;3;807.9570000000001;100;0;1
290;A;5;291;0;-100;4;833.9359999999999;0;1;1
291;A;5;292;0;-100;3;1055.976;0;0;1
292;A;5;293;1;1;3;1848.145;0;1;1
293;A;5;294;0;-100;3;1111.829;0;1;1
294;A;5;295;1;-1;4;1146.177;0;1;1
295;A;5;296;0;-100;3;871.752;0;1;1
296;A;5;297;1;1;3;832.031;0;0;1
297;A;5;298;1;1;4;786.229;0;0;1
298;A;5;299;0;-100;4;2281.774;100;0;1
299;A;5;300;0;-100;3;671.896;0;1;1
300;A;6;301;0;-100;3;872.019;0;1;1
301;A;6;302;0;-100;3;1239.939;0;0;1
302;A;6;303;0;-100;4;2434.09;100;1;1
303;A;6;304;0;-100;4;817.9280000000001;100;1;1
304;A;6;305;0;-100;3;1312.128;0;0;1
305;A;6;306;1;1;4;2386.026;100;1;1
306;A;6;307;0;-100;4;713.8689999999999;0;1;1
307;A;6;308;0;-100;3;1160.089;0;1;1
308;A;6;309;1;-1;3;863.866;0;0;1
309;A;6;310;1;-1;3;888.1300000000001;0;1;1
310;A;6;311;1;1;4;1393.982;0;0;1
311;A;6;312;1;-1;3;1855.911;0;0;1
312;A;6;313;1;1;3;1840.0120000000002;0;1;1
313;A;6;314;1;-1;3;1975.951;0;0;1
314;A;6;315;0;-100;3;1632.063;0;0;1
315;A;6;316;1;-1;4;2113.993;0;0;1
316;A;6;317;1;1;4;2570.459;0;0;1
317;A;6;318;0;-100;3;727.5809999999999;0;1;1
318;A;6;319;1;-1;3;2600.056;0;0;1
319;A;6;320;0;-100;4;2290.155;0;1;1
320;A;6;321;1;1;3;1623.8490000000002;0;0;1
321;A;6;322;0;-100;3;728.0450000000001;0;1;1
322;A;6;323;1;-1;3;767.877;0;0;1
323;A;6;324;0;-100;3;1696.105;0;0;1
324;A;6;325;0;-100;4;1497.9119999999998;0;0;1
325;A;6;326;1;-1;4;993.9849999999999;0;1;1
326;A;6;327;1;-1;4;1530.0030000000002;100;1;1
327;A;6;328;0;-100;3;1071.962;0;0;1
328;A;6;329;1;-1;4;841.9559999999999;100;1;1
329;A;6;330;1;-1;3;1096.063;0;1;1
330;A;6;331;1;-1;4;802.029;0;0;1
331;A;6;332;1;1;3;1112.068;0;0;1
332;A;6;333;0;-100;3;1096.006;0;0;1
333;A;6;334;0;-100;4;793.902;0;1;1
334;A;6;335;0;-100;4;1242.069;0;0;1
335;A;6;336;1;-1;3;911.9369999999999;0;0;1
336;A;6;337;1;-1;3;1456.092;0;1;1
337;A;6;338;0;-100;3;863.9760000000001;0;0;1
338;A;6;339;1;-1;3;1031.979;100;1;1
339;A;6;340;1;1;3;1248.011;100;1;1
340;A;6;341;1;-1;3;879.925;0;1;1
341;A;6;342;0;-100;4;1378.0729999999999;100;0;1
342;A;6;343;0;-100;4;809.99;0;1;1
343;A;6;344;0;-100;3;887.915;0;0;1
344;A;6;345;0;-100;3;1007.981;0;1;1
345;A;6;346;0;-100;4;2250.136;100;0;1
346;A;6;347;0;-100;3;1072.077;0;0;1
347;A;6;348;0;-100;4;809.9190000000001;0;0;1
348;A;6;349;0;-100;4;1513.888;100;1;1
349;A;6;350;0;-100;3;856.068;0;1;1
350;A;6;351;1;-1;3;904.1890000000001;0;1;1
351;A;6;352;1;1;4;1145.952;0;0;1
352;A;6;353;1;1;3;1183.964;0;0;1
353;A;6;354;1;1;4;1713.8890000000001;100;1;1
354;A;6;355;1;1;4;1034.029;0;0;1
355;A;6;356;1;-1;4;1906.004;0;1;1
356;A;6;357;1;1;4;1090.063;0;0;1
357;A;6;358;0;-100;4;673.9929999999999;0;1;1
358;A;6;359;0;-100;3;775.989;0;1;1
359;A;6;360;0;-100;4;1321.965;100;1;1
360;B;1;1;1;1;4;745.8620000000001;100;1;1
361;B;1;2;0;-100;3;1608.0390000000002;0;0;1
362;B;1;3;0;-100;3;1256.078;100;0;1
363;B;1;4;0;-100;3;1159.928;0;1;1
364;B;1;5;1;-1;3;1271.967;100;0;1
365;B;1;6;1;-1;3;1504.071;0;0;1
366;B;1;7;0;-100;4;1025.991;0;1;1
367;B;1;8;0;-100;4;865.817;0;0;1
368;B;1;9;1;-1;3;1752.071;0;0;1
369;B;1;10;1;1;3;1800.091;0;1;1
370;B;1;11;0;-100;3;1895.9209999999998;0;0;1
371;B;1;12;1;1;3;1240.141;0;0;1
372;B;1;13;1;1;4;1681.824;0;1;1
373;B;1;14;0;-100;4;1218.16;0;1;1
374;B;1;15;1;-1;3;1399.929;0;0;1
375;B;1;16;0;-100;4;1185.935;0;1;1
376;B;1;17;0;-100;4;1162.164;0;1;1
377;B;1;18;0;-100;3;1184.028;0;1;1
378;B;1;19;1;1;4;1305.997;0;0;1
379;B;1;20;0;-100;3;1831.9589999999998;0;0;1
380;B;1;21;0;-100;3;1679.8220000000001;0;1;1
381;B;1;22;0;-100;4;1434.042;0;1;1
382;B;1;23;0;-100;3;1184.056;0;1;1
383;B;1;24;0;-100;4;1298.038;0;1;1
384;B;1;25;0;-100;4;1049.837;0;1;1
385;B;1;26;0;-100;3;992.114;0;0;1
386;B;1;27;1;-1;4;1499.551;100;1;1
387;B;1;28;1;-1;4;1480.408;100;1;1
388;B;1;29;0;-100;4;1090.043;0;0;1
389;B;1;30;0;-100;4;1330.266;0;1;1
390;B;1;31;0;-100;3;1047.748;0;0;1
391;B;1;32;0;-100;3;1320.089;0;0;1
392;B;1;33;1;-1;3;1079.854;0;1;1
393;B;1;34;0;-100;4;1498.002;0;0;1
394;B;1;35;1;-1;4;2250.226;0;0;1
395;B;1;36;0;-100;4;1081.91;0;1;1
396;B;1;37;0;-100;3;1192.028;0;0;1
397;B;1;38;1;-1;3;1543.909;0;0;1
398;B;1;39;1;-1;3;1256.032;0;1;1
399;B;1;40;1;1;4;1410.0100000000002;100;1;1
400;B;1;41;1;-1;4;1249.929;0;1;1
401;B;1;42;1;1;3;1360.126;100;1;1
402;B;1;43;1;-1;4;865.8789999999999;0;0;1
403;B;1;44;1;-1;3;999.9300000000001;0;1;1
404;B;1;45;0;-100;4;970.156;0;1;1
405;B;1;46;1;-1;3;960.095;0;1;1
406;B;1;47;1;-1;3;1167.912;0;0;1
407;B;1;48;0;-100;4;1337.963;0;1;1
408;B;1;49;1;-1;4;914.039;0;1;1
409;B;1;50;0;-100;3;1095.942;0;0;1
410;B;1;51;1;-1;4;1545.9879999999998;0;0;1
411;B;1;52;1;1;4;1521.991;100;1;1
412;B;1;53;0;-100;4;1106.008;0;0;1
413;B;1;54;1;-1;3;1351.983;0;1;1
414;B;1;55;1;1;3;1983.853;100;0;1
415;B;1;56;1;1;3;1280.013;0;0;1
416;B;1;57;0;-100;4;2098.055;100;0;1
417;B;1;58;0;-100;3;1128.025;0;1;1
418;B;1;59;0;-100;4;1074.048;0;0;1
419;B;1;60;0;-100;4;882.105;0;0;1
420;B;2;61;0;-100;4;922.065;0;0;1
421;B;2;62;1;-1;4;954.02;0;0;1
422;B;2;63;0;-100;3;1199.966;0;1;1
423;B;2;64;0;-100;4;1498.0680000000002;0;1;1
424;B;2;65;1;1;4;1305.978;0;0;1
425;B;2;66;0;-100;3;1088.095;0;1;1
426;B;2;67;1;-1;4;1161.963;0;1;1
427;B;2;68;0;-100;3;1095.796;0;1;1
428;B;2;69;1;-1;4;906.1189999999999;0;1;1
429;B;2;70;1;-1;4;890.0450000000001;0;0;1
430;B;2;71;0;-100;4;930.0429999999999;0;1;1
431;B;2;72;1;-1;4;961.9300000000001;0;0;1
432;B;2;73;1;1;4;1689.9450000000002;0;1;1
433;B;2;74;1;-1;3;1192.102;0;0;1
434;B;2;75;1;1;3;1831.815;0;1;1
435;B;2;76;0;-100;3;976.002;0;0;1
436;B;2;77;0;-100;3;1120.061;0;1;1
437;B;2;78;1;1;4;1330.02;0;0;1
438;B;2;79;1;-1;4;969.9369999999999;0;0;1
439;B;2;80;1;1;3;1904.083;0;0;1
440;B;2;81;1;-1;4;1266.028;0;1;1
441;B;2;82;1;1;4;1394.0149999999999;0;1;1
442;B;2;83;1;-1;3;2671.967;0;1;1
443;B;2;84;0;-100;4;874.05;0;0;1
444;B;2;85;1;-1;3;1239.917;0;1;1
445;B;2;86;0;-100;4;994.1289999999999;0;0;1
446;B;2;87;0;-100;3;1191.868;0;0;1
447;B;2;88;1;-1;4;1162.037;0;1;1
448;B;2;89;0;-100;3;1223.972;0;1;1
449;B;2;90;0;-100;4;954.0409999999999;0;1;1
450;B;2;91;0;-100;4;873.838;0;0;1
451;B;2;92;0;-100;4;978.183;0;0;1
452;B;2;93;0;-100;4;905.8119999999999;0;0;1
453;B;2;94;0;-100;3;1248.139;0;1;1
454;B;2;95;1;1;4;1138.075;0;0;1
455;B;2;96;0;-100;3;967.9359999999999;0;0;1
456;B;2;97;1;-1;4;1002.047;0;1;1
457;B;2;98;0;-100;3;1023.876;0;1;1
458;B;2;99;0;-100;4;1042.128;0;1;1
459;B;2;100;0;-100;3;991.989;0;0;1
460;B;2;101;1;1;3;1392.083;100;0;1
461;B;2;102;1;-1;4;777.876;0;1;1
462;B;2;103;0;-100;4;834.0619999999999;0;1;1
463;B;2;104;1;-1;3;927.954;0;0;1
464;B;2;105;1;1;4;1218.057;0;0;1
465;B;2;106;1;-1;3;1007.9649999999999;0;1;1
466;B;2;107;1;1;4;1370.1129999999998;0;1;1
467;B;2;108;1;1;4;1153.81;0;1;1
468;B;2;109;0;-100;4;1194.089;0;0;1
469;B;2;110;1;1;4;1122.128;0;1;1
470;B;2;111;1;-1;3;1087.805;0;0;1
471;B;2;112;0;-100;4;922.104;0;1;1
472;B;2;113;0;-100;4;873.925;0;0;1
473;B;2;114;1;-1;3;1208.002;0;0;1
474;B;2;115;0;-100;3;1031.947;0;0;1
475;B;2;116;1;1;3;1240.055;0;0;1
476;B;2;117;0;-100;3;1087.984;0;1;1
477;B;2;118;1;-1;4;961.9010000000001;0;0;1
478;B;2;119;0;-100;4;930.027;0;0;1
479;B;2;120;0;-100;4;978.0699999999999;0;0;1
480;B;3;121;1;1;4;969.9780000000001;0;1;1
481;B;3;122;0;-100;4;913.8599999999999;0;0;1
482;B;3;123;0;-100;4;826.134;0;1;1
483;B;3;124;1;-1;4;825.9380000000001;0;0;1
484;B;3;125;1;1;3;1143.978;0;0;1
485;B;3;126;0;-100;3;967.99;0;0;1
486;B;3;127;1;-1;3;1191.958;0;0;1
487;B;3;128;0;-100;4;898.154;0;1;1
488;B;3;129;1;-1;3;1231.951;0;1;1
489;B;3;130;1;-1;3;1223.911;0;0;1
490;B;3;131;1;1;4;1265.931;0;1;1
491;B;3;132;1;1;3;952.0509999999999;0;1;1
492;B;3;133;1;-1;3;1048.166;0;0;1
493;B;3;134;0;-100;4;1033.835;0;1;1
494;B;3;135;0;-100;3;1040.189;0;1;1
495;B;3;136;1;-1;3;1463.9;0;0;1
496;B;3;137;0;-100;3;1864.116;0;0;1
497;B;3;138;0;-100;3;1671.906;0;0;1
498;B;3;139;1;-1;3;1047.939;0;1;1
499;B;3;140;0;-100;3;1039.942;0;1;1
500;B;3;141;0;-100;4;818.057;0;0;1
501;B;3;142;0;-100;3;951.9939999999999;0;1;1
502;B;3;143;0;-100;3;904.018;0;1;1
503;B;3;144;0;-100;3;1048.211;0;0;1
504;B;3;145;1;1;3;1183.835;0;1;1
505;B;3;146;1;-1;3;1039.862;0;0;1
506;B;3;147;1;1;4;1250.078;0;0;1
507;B;3;148;0;-100;4;898.0150000000001;0;0;1
508;B;3;149;0;-100;4;850.0139999999999;0;0;1
509;B;3;150;1;-1;3;903.981;0;1;1
510;B;3;151;0;-100;3;1128.052;0;0;1
511;B;3;152;0;-100;4;1233.936;0;1;1
512;B;3;153;0;-100;3;1072.03;0;1;1
513;B;3;154;0;-100;3;1136.009;0;0;1
514;B;3;155;0;-100;4;929.933;0;1;1
515;B;3;156;1;-1;3;880.02;0;1;1
516;B;3;157;1;-1;3;1087.987;0;0;1
517;B;3;158;0;-100;4;1090.12;0;0;1
518;B;3;159;0;-100;4;1273.903;0;1;1
519;B;3;160;0;-100;3;1376.19;0;1;1
520;B;3;161;1;-1;4;1689.862;100;0;1
521;B;3;162;1;-1;3;992.076;0;1;1
522;B;3;163;0;-100;3;1095.788;0;0;1
523;B;3;164;0;-100;4;1050.0;0;1;1
524;B;3;165;1;-1;3;992.1869999999999;0;1;1
525;B;3;166;1;1;3;1167.889;0;0;1
